"Reporting starts","Reporting ends","Ad set name","Ad set delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Starts,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-04-23,2026-04-24,PV-LP1,active,"7-day click",,,106,1.009434,,7,Daily,7.3,Ongoing,2026-04-24,107,68.224299,5,,1.46,4.672897,7,6.542056,1.042857,3,2.433333
2026-04-23,2026-04-24,PV-LP2,active,"7-day click",,,103,1.009709,,7,Daily,8.03,Ongoing,2026-04-24,104,77.211538,6,,1.338333,5.769231,10,9.615385,0.803,6,1.338333
2026-04-23,2026-04-24,PV-LP3,active,"7-day click",,,105,1.009524,,7,Daily,8.23,Ongoing,2026-04-24,106,77.641509,7,,1.175714,6.603774,6,5.660377,1.371667,4,2.0575
